,Coherence,Confidence,ReactionTime,SubResponse,TrueDirection,ACC,SubjectNumber
518,12.8,4,1606,180,180,1,3
519,3.2,2,3515,0,180,0,3
520,6.4,4,1009,180,180,1,3
521,3.2,1,2163,180,180,1,3
522,6.4,3,1242,180,180,1,3
523,6.4,4,833,0,0,1,3
524,25.6,6,757,0,0,1,3
525,1.6,5,1593,0,180,0,3
526,3.2,4,1035,180,0,0,3
527,12.8,6,857,0,0,1,3
528,25.6,6,749,0,0,1,3
529,25.6,6,670,0,0,1,3
530,3.2,4,893,180,180,1,3
531,25.6,6,776,180,180,1,3
532,1.6,2,1793,180,0,0,3
533,12.8,4,860,0,0,1,3
534,12.8,6,675,180,180,1,3
535,12.8,6,961,180,180,1,3
536,1.6,2,1696,180,180,1,3
537,6.4,4,966,0,0,1,3
538,1.6,1,2978,180,180,1,3
539,6.4,4,1682,0,0,1,3
540,3.2,5,1568,180,0,0,3
541,25.6,6,679,0,0,1,3
542,12.8,6,1196,0,0,1,3
543,6.4,6,1152,0,0,1,3
544,12.8,6,1013,180,180,1,3
545,3.2,4,1581,180,180,1,3
546,12.8,6,583,0,0,1,3
547,1.6,1,2698,180,180,1,3
548,12.8,5,639,0,0,1,3
549,1.6,4,978,180,0,0,3
550,3.2,2,1981,0,0,1,3
551,1.6,4,734,180,180,1,3
552,25.6,6,797,180,180,1,3
553,3.2,5,1412,180,180,1,3
554,3.2,5,1890,180,0,0,3
555,25.6,6,1029,180,180,1,3
556,6.4,2,2752,180,180,1,3
557,25.6,6,751,180,180,1,3
558,3.2,3,842,180,0,0,3
559,3.2,3,1018,180,180,1,3
560,25.6,6,1060,180,180,1,3
561,6.4,5,1319,180,180,1,3
562,3.2,4,2204,180,0,0,3
563,12.8,6,1726,180,180,1,3
564,25.6,6,648,180,180,1,3
565,1.6,3,2364,0,0,1,3
566,3.2,1,3086,0,0,1,3
567,12.8,2,826,0,0,1,3
568,12.8,6,566,0,0,1,3
569,12.8,6,1198,0,0,1,3
570,6.4,4,1277,180,0,0,3
571,25.6,6,744,180,180,1,3
572,3.2,5,2576,180,0,0,3
573,25.6,6,703,0,0,1,3
574,12.8,6,1171,0,0,1,3
575,3.2,3,2373,0,0,1,3
576,3.2,2,2902,180,180,1,3
577,25.6,6,702,0,0,1,3
578,1.6,6,1329,180,180,1,3
579,6.4,6,978,180,180,1,3
580,6.4,6,1186,0,0,1,3
581,1.6,6,990,180,180,1,3
582,25.6,6,909,180,180,1,3
583,25.6,6,805,180,180,1,3
584,25.6,6,710,180,180,1,3
585,6.4,6,680,180,180,1,3
586,12.8,6,564,0,0,1,3
587,12.8,6,735,0,0,1,3
588,12.8,6,734,0,0,1,3
589,12.8,6,622,180,180,1,3
590,25.6,6,471,0,0,1,3
591,6.4,6,542,180,180,1,3
592,6.4,6,565,0,0,1,3
593,12.8,6,553,180,180,1,3
594,12.8,6,605,180,180,1,3
595,6.4,5,3390,180,0,0,3
596,1.6,6,655,0,0,1,3
597,6.4,6,888,0,0,1,3
598,6.4,5,847,180,180,1,3
599,12.8,6,591,0,0,1,3
600,6.4,5,1352,180,180,1,4
601,12.8,6,656,180,180,1,4
602,12.8,4,1241,180,0,0,4
603,1.6,5,619,180,0,0,4
604,1.6,1,902,0,0,1,4
605,6.4,5,659,180,180,1,4
606,3.2,2,1390,0,0,1,4
607,3.2,3,1475,180,180,1,4
608,25.6,6,917,180,180,1,4
609,1.6,3,1332,180,0,0,4
610,12.8,4,1149,180,180,1,4
611,6.4,1,775,0,180,0,4
612,1.6,4,978,180,180,1,4
613,12.8,6,796,180,180,1,4
614,3.2,3,1304,180,180,1,4
615,12.8,5,768,0,0,1,4
616,25.6,6,872,0,0,1,4
617,25.6,6,592,180,180,1,4
618,25.6,6,859,180,180,1,4
619,25.6,5,652,0,0,1,4
620,3.2,2,2363,0,0,1,4
621,1.6,2,1400,180,0,0,4
622,25.6,6,715,180,180,1,4
623,25.6,6,631,0,0,1,4
624,12.8,6,727,180,180,1,4
625,1.6,3,1393,180,0,0,4
626,6.4,5,1079,0,0,1,4
627,6.4,3,609,0,0,1,4
628,3.2,5,818,180,180,1,4
629,12.8,5,1534,180,180,1,4
630,25.6,6,530,0,0,1,4
631,12.8,6,800,180,180,1,4
632,25.6,6,513,0,0,1,4
633,12.8,6,777,0,0,1,4
634,6.4,4,1665,0,0,1,4
635,25.6,6,936,0,0,1,4
636,25.6,6,700,180,180,1,4
637,1.6,4,1742,180,180,1,4
638,6.4,5,563,0,0,1,4
639,3.2,4,597,180,180,1,4
640,1.6,6,535,0,180,0,4
641,3.2,4,546,180,180,1,4
642,1.6,4,850,0,180,0,4
643,3.2,4,1251,0,0,1,4
644,6.4,3,1619,180,180,1,4
645,12.8,6,823,180,180,1,4
646,12.8,2,786,0,0,1,4
647,6.4,4,800,0,0,1,4
648,6.4,5,864,0,0,1,4
649,12.8,5,902,180,180,1,4
650,6.4,6,845,0,0,1,4
651,3.2,6,740,180,180,1,4
652,3.2,5,1522,180,0,0,4
653,12.8,5,1354,180,180,1,4
654,1.6,5,766,0,180,0,4
655,6.4,3,713,180,180,1,4
656,3.2,5,837,180,0,0,4
657,3.2,5,1230,180,180,1,4
658,1.6,6,757,0,0,1,4
659,6.4,6,1520,0,0,1,4
660,25.6,6,823,0,0,1,4
661,25.6,6,655,180,180,1,4
662,25.6,6,571,0,0,1,4
663,1.6,5,795,0,180,0,4
664,6.4,5,1230,0,0,1,4
665,1.6,6,598,180,180,1,4
666,6.4,6,1351,180,180,1,4
667,12.8,6,1088,180,180,1,4
668,6.4,6,731,0,0,1,4
669,25.6,6,673,0,0,1,4
670,12.8,5,863,180,0,0,4
671,3.2,5,1497,180,180,1,4
672,25.6,6,734,180,180,1,4
673,12.8,6,633,0,0,1,4
674,3.2,4,637,180,0,0,4
675,12.8,4,815,0,0,1,4
676,6.4,4,1124,180,0,0,4
677,3.2,3,1327,0,0,1,4
678,6.4,2,3465,0,0,1,4
679,25.6,6,536,0,0,1,4
680,3.2,5,1431,0,0,1,4
681,12.8,6,626,180,180,1,4
682,6.4,6,809,180,180,1,4
683,25.6,6,584,180,180,1,4
684,25.6,6,792,180,180,1,4
685,25.6,6,796,180,180,1,4
686,12.8,5,1271,0,0,1,4
687,6.4,6,1098,180,180,1,4
688,25.6,6,603,180,180,1,4
689,12.8,4,1466,180,180,1,4
690,25.6,6,599,0,0,1,4
691,3.2,2,2130,0,0,1,4
692,3.2,5,663,180,180,1,4
693,12.8,5,638,180,180,1,4
694,12.8,5,1125,0,0,1,4
695,6.4,2,1410,0,0,1,4
696,3.2,2,1299,180,0,0,4
697,25.6,6,632,180,180,1,4
698,25.6,6,627,180,180,1,4
699,6.4,2,873,0,180,0,4
700,1.6,1,2613,0,180,0,4
701,3.2,2,1247,180,180,1,4
702,6.4,5,1447,180,180,1,4
703,1.6,1,1669,180,0,0,4
704,6.4,1,2519,0,0,1,4
705,3.2,1,2522,0,0,1,4
706,1.6,1,877,180,0,0,4
707,6.4,4,554,0,0,1,4
708,3.2,3,2034,0,0,1,4
709,6.4,1,2485,180,180,1,4
710,3.2,1,1857,180,0,0,4
711,1.6,1,1905,0,180,0,4
712,6.4,1,1186,180,180,1,4
713,3.2,1,1959,180,0,0,4
714,1.6,1,1545,0,0,1,4
715,1.6,3,973,180,0,0,4
716,3.2,4,1352,180,180,1,4
717,3.2,5,1199,180,180,1,4
718,3.2,5,924,180,180,1,4
719,12.8,5,746,0,0,1,4
720,3.2,4,900,180,180,1,4
721,6.4,5,1374,180,180,1,4
722,1.6,5,877,0,180,0,4
723,6.4,5,1604,0,0,1,4
724,1.6,5,1012,180,0,0,4
725,1.6,4,1061,180,180,1,4
726,25.6,6,574,0,0,1,4
727,25.6,6,590,180,180,1,4
728,3.2,5,989,0,0,1,4
729,12.8,4,637,180,0,0,4
730,3.2,2,1757,180,180,1,4
731,25.6,6,448,0,0,1,4
732,6.4,5,541,180,180,1,4
733,1.6,6,561,0,180,0,4
734,1.6,4,906,180,180,1,4
735,6.4,6,771,0,180,0,4
736,1.6,3,708,180,0,0,4
737,25.6,6,593,180,180,1,4
738,3.2,5,615,180,180,1,4
739,25.6,6,653,180,180,1,4
740,3.2,6,520,0,0,1,4
741,1.6,4,1193,180,180,1,4
742,12.8,6,780,180,180,1,4
743,1.6,5,581,0,180,0,4
744,1.6,1,2384,180,0,0,4
